address,tokens
Twinstake,312508244
Upbit Staking,298493454
Coinbase,261590513
Luganodes,247042761
Binance Node,227497036
Matic Power,207785635
Figment,172865338
Anonymous 93,167055313
Web3Nodes Validator 🌎 0% fee,166520406
Anonymous 94,133289372
Kiln x Ownest 🔸 Pro Staking 🔸,122856665
Kraken,115105582
Everstake 0% fee,113939512
Anonymous 91,99790755
P2P.org 0% Fee,96036471
Girnaar Nodes,86622373
Stakin,79905723
Vault Staking,76714085
Allnodes ⚡️ 0% fee,61902515
Staking4all - 0% fee,43380017
StakePool,42403771
Blockdaemon,39230426
Anonymous 92,31171049
Matrix Stake,23760022
TruFin,18117379
Abyss Finance 🔥 0% fee,15031556
SelfLiquidity,9706316
LinkPool,8784626
The Abyss (0% commission),8229325
🐠 stake.fish,7955228
Supermoon,7855978
Blue Ocean,7294722
Meria,6437277
HashKey Cloud,6228942
Nobi,5986048
CheckBit 0% fee,5057681
Prometheus Pool,4867399
Valis Labs,4853599
Making.cash,4560857
Fahrenheit ❄️ 0%,4430621
stakeFi Network,4072098
algo | stake,3974891
Smart Stake 📈📊,3603651
Blocks United,2797636
Infosys,2784093
DeFiMatic,2583591
Coinstash,2543161
Tessellated,2521849
Newroad Network,2503441
Rasputin,2488500
Vader 73,2459126
Streamr,2449967
Blocksize,2395058
Data Nexus,2322032
Stake.Works,2155717
Chorus One,2081952
vido.info,2010576
Vitwit,1989942
PolygonGo,1989733
bountyblok,1988976
EMC2 Node,1884471
VC Capital,1876219
Matic Friends,1865520
Sakura Foundation,1588164
NodeOps,1584648
BCW Technologies,1557650
AnkrValidator,1468750
Diversified Validator Network,1277864
PathrockNetwork,1204051
Validatrium,1149640
Atlas Staking,1127177
Perfect Stake 🥩,1065448
Deepheat,1029320
Smartpay Validator,1014939
Gonedator,1000658
Fierydev-MCLB,882634
StakeCraft 🔥 0% Fee,825936
Pentagon Chain,748139
Shard Labs,549161
Web3Auth Validator,471159
FreshSTAKING,342623
Pentagon Games,336515
Mantra Chain,304213
Simply Staking,282641
Stake Capital,264671
RockX,257996
Wetez,255506
Cryptonomicon,237029
Blockops,222267
Orion by Atlas Staking,216851
SolidStake,207834
Mind Heart Soul,205786
Republic Crypto / Source,200816
Northstake,194321
SenseiNode,191774
kytzu,162281
DSRV,147008
Zero Hash,103999
Forbole,103615
Google Cloud,78852
Sentinel Stake,51875
Pier Two,37578
Stakeway Validator,30071
Ledger by Meria,10000
