address,tokens
Twinstake,314846149
Upbit Staking,305093499
Coinbase,257043055
Luganodes,247101408
Binance Node,228130378
Matic Power,207787554
Figment,172945741
Anonymous 93,167641723
Web3Nodes Validator 🌎 0% fee,166533196
Anonymous 94,133290007
Kiln x Ownest 🔸 Pro Staking 🔸,128424819
Kraken,120628188
Everstake 0% fee,113524937
Anonymous 91,99790755
P2P.org 0% Fee,95982008
Girnaar Nodes,85559647
Stakin,79744174
Vault Staking,76706607
Allnodes ⚡️ 0% fee,61842491
Staking4all - 0% fee,43213418
StakePool,42877541
Blockdaemon,38950136
Anonymous 92,31174703
Matrix Stake,23694612
TruFin,17986905
Abyss Finance 🔥 0% fee,15045688
SelfLiquidity,9548887
LinkPool,8960972
🐠 stake.fish,8595375
The Abyss (0% commission),8020116
Supermoon,7849213
Blue Ocean,7277967
Meria,6795291
HashKey Cloud,6229475
Nobi,5986048
Prometheus Pool,5277853
CheckBit 0% fee,5046684
Valis Labs,4853599
Making.cash,4542987
Fahrenheit ❄️ 0%,4451550
stakeFi Network,4071783
algo | stake,4069608
Smart Stake 📈📊,3590895
Blocks United,2795252
Infosys,2784166
DeFiMatic,2580564
Tessellated,2519498
Newroad Network,2503441
Rasputin,2488655
Vader 73,2453463
Streamr,2425183
Blocksize,2395247
Coinstash,2375970
Data Nexus,2305989
Stake.Works,2173369
Chorus One,2082003
PolygonGo,2001332
vido.info,1995824
bountyblok,1990513
Vitwit,1989942
EMC2 Node,1900049
VC Capital,1875507
Matic Friends,1865366
NodeOps,1584678
BCW Technologies,1551868
Sakura Foundation,1547170
AnkrValidator,1431445
Diversified Validator Network,1276737
PathrockNetwork,1204111
Atlas Staking,1158925
Validatrium,1148782
Deepheat,1029427
StakeCraft 🔥 0% Fee,1024224
Smartpay Validator,1017481
Gonedator,1000658
Perfect Stake 🥩,985506
Fierydev-MCLB,874171
Pentagon Chain,748584
Shard Labs,549161
Web3Auth Validator,471159
FreshSTAKING,342623
Pentagon Games,334045
Mantra Chain,295210
Simply Staking,283578
Stake Capital,264934
Wetez,255543
RockX,250344
Cryptonomicon,237886
Blockops,222257
Orion by Atlas Staking,217558
SolidStake,208193
Mind Heart Soul,204647
Republic Crypto / Source,201482
SenseiNode,187135
Northstake,186239
kytzu,168901
DSRV,147747
Zero Hash,103997
Forbole,89744
Google Cloud,80224
Sentinel Stake,51883
Pier Two,38636
Stakeway Validator,34287
Ledger by Meria,14125
