address,tokens
Twinstake,313917575
Upbit Staking,307053454
Coinbase,262043050
Luganodes,247072838
Binance Node,227501691
Matic Power,207785635
Figment,172850022
Anonymous 93,167055477
Web3Nodes Validator 🌎 0% fee,166533589
Anonymous 94,133289670
Kiln x Ownest 🔸 Pro Staking 🔸,122117344
Kraken,118687602
Everstake 0% fee,113891886
Anonymous 91,99790755
P2P.org 0% Fee,96067261
Girnaar Nodes,86622008
Stakin,79890722
Vault Staking,76709719
Allnodes ⚡️ 0% fee,61875957
Staking4all - 0% fee,43476109
StakePool,42337699
Blockdaemon,39520426
Anonymous 92,31171049
Matrix Stake,23761080
TruFin,18053654
Abyss Finance 🔥 0% fee,15031718
SelfLiquidity,9689947
LinkPool,8784900
The Abyss (0% commission),8229325
🐠 stake.fish,7955228
Supermoon,7855978
Blue Ocean,7284722
Meria,6447001
HashKey Cloud,6228942
Nobi,5986048
Prometheus Pool,5337496
CheckBit 0% fee,5049034
Valis Labs,4853599
Making.cash,4561218
Fahrenheit ❄️ 0%,4430621
stakeFi Network,4072098
algo | stake,3974891
Smart Stake 📈📊,3604169
Blocks United,2797636
Infosys,2784093
DeFiMatic,2583737
Coinstash,2542517
Tessellated,2521849
Newroad Network,2503441
Rasputin,2488500
Vader 73,2459126
Streamr,2427143
Blocksize,2395058
Data Nexus,2305989
Stake.Works,2155416
Chorus One,2081952
vido.info,2010576
Vitwit,1989942
PolygonGo,1989740
bountyblok,1988976
EMC2 Node,1884471
VC Capital,1877182
Matic Friends,1865520
NodeOps,1584648
Sakura Foundation,1559178
BCW Technologies,1557650
AnkrValidator,1432294
Diversified Validator Network,1277864
PathrockNetwork,1204051
Validatrium,1149640
Atlas Staking,1120477
Perfect Stake 🥩,1064822
Deepheat,1029427
Smartpay Validator,1013891
Gonedator,1000658
Fierydev-MCLB,882634
StakeCraft 🔥 0% Fee,838256
Pentagon Chain,748139
Shard Labs,549161
Web3Auth Validator,471159
FreshSTAKING,342623
Pentagon Games,336505
Mantra Chain,303215
Simply Staking,282541
Stake Capital,264671
Wetez,255515
RockX,250344
Cryptonomicon,236679
Blockops,222267
Orion by Atlas Staking,216851
SolidStake,207834
Mind Heart Soul,205786
Republic Crypto / Source,200816
Northstake,194327
SenseiNode,191774
kytzu,162314
DSRV,147008
Zero Hash,103999
Forbole,103615
Google Cloud,78933
Sentinel Stake,51876
Pier Two,38635
Stakeway Validator,30087
Ledger by Meria,14009
