address,tokens
Mysten-1,207565967594627987
Mysten-2,200706588995008599
Galaxy Digital,164818517480931950
Aftermath,151417553092614072
Luganodes,148790117754093880
Suilend,142631399597049309
Coinbase,140132103924590724
DSRV,134799763010118176
Overclock,130661489555505368
Blockscope.net,125846526959313503
Figment,123367468481907873
BartestneT,122441253427908793
Chainode Tech,119314025212746742
Chorus One,118437762465969810
RepublicCrypto,116873531310223347
Durian,115568145848656398
Persimmon,115566750292061850
n1stake,112615983073198761
Staketab,110232876970499074
BlockVision,108880191167285425
Triton One,104585185168332069
mrgn,103766949819328592
Everstake,96079998834290962
Blockdaemon,95745431927171636
P2P.ORG,90553440744471707
Moonlet,86738421017692300
Ahoy Validator,86014276175390317
Cosmostation,85672114268076633
Staking Defense League,85574997007658660
KiligLab,83341461272421574
ContributionDAO,82950406658412924
Alchemy,80340687793261886
Coinage x DAIC,80157172710371476
Artifact,80105060347275292
Nodeinfra,79171289362244021
Stardust Staking,78869268724035868
OKXEarn,78436770080218003
TPT,77856172625452553
Kraken,77438714271867513
P-OPS Team,76377067764639160
TrustedPoint,75806294896685272
ChainIDE,75334939113922786
LumiWave,74074831061341007
Kiln,72775047313290403
HEEBOO,66488774687295937
01node,65447126285602216
Swyke,65358517673880125
StakingCabin,65210186342697212
Ankr,65094916709283915
Chainflow,64179502377947173
Laine,63651278597537040
Staking Facilities,62913693364784042
Stakin,61864921845309657
Citadel.one,57588576407089343
ORBR,56876115953202433
HashedPotatoes,55811888166860032
Anchorage Digital-2,54261046544702991
Haedal Protocol,53569096459544125
Studio Mirai,51323390913298275
Scale3Labs,45875314694385627
AlphaFi,45577536138431572
Shinlabs,45361483701954251
Allnodes,44322965576628623
Cetus,44104687290562539
NAVI Protocol,41371038888209153
Nelrann,40839434343964083
Nansen | Stake to Stack Points,39797540733997171
H2O Nodes,38511175091001871
Nodes.Guru,38156927457357084
Astro-Stakers,38085467932018866
proofgroup,37749902694339528
Imperator.co,37702665277882596
B-Harvest,37556451139168834
SynergyNodes,37538545329892330
SyncNode,35437717177578426
Obelisk,35228536427618947
Interest Labs,35217668714164539
Suiet,34498821872655592
Kriya Validator,33906407454176269
Chainbase Staking,33728746501434752
Ika,33266065723528655
Anchorage Digital-1,32681471554672408
Brightlystake,32505141361367733
Sentio,32422886381638815
Karrier One,32185260573065152
Cogent Crypto,31868133784217256
Stakely,31074109172857735
Surf,30855102592176360
Bucket Protocol,30396760593530601
Asymmetric Research,30178187199716641
Ledger by P2P.ORG,30090838396246456
Hinode Technologies,29937950924871381
Omnistake,29830266006430827
HashKey Cloud,29089719019525312
ProStaking,29025780452558194
BLRD,28986947753567247
QuantNode,28973957446494055
A41,28944085466747454
TDMTech,28755935129064968
iBriz.ai,28735924824127891
XPRV,28301916813307463
Latitude.sh,27856939863163860
Cypher Capital,27506939922843744
Forbole,27493175103761107
GiveRep,27090955680178548
[NODERS] x Talentum,25973908123273250
Swiss Staking,25752390025297923
hoh.zone,25540087104875054
stakefish,24837585686298967
MIDL.dev,24548176365687937
Peeranha,23636413152507381
Neuler,23506664130563594
ZKV,22548991300385209
SenseiNode,21659740409044349
Encapsulate,20053167772159601
BiXinKelePool,17191592101678378
Node Guardians,16007288826131652
DoubleUp,15989265905204720
FP Validated,15054161243747387
Scallop,14980226861492429
InfStones,13667050791518719
TenX Protocols,3132237572397419
