address,tokens
Mysten-1,210416581068922130
Mysten-2,188637250553127862
Galaxy Digital,161664751058870025
Luganodes,151989477917432874
Aftermath,149979351154700113
Coinbase,136534959919702158
DSRV,135297915407121089
Suilend,133158048785500854
Overclock,130955140997786672
Blockscope.net,126309231294238588
BartestneT,122914828992178575
Chainode Tech,119585551790910709
RepublicCrypto,117267984954562392
Durian,116019122006498443
Persimmon,116017575719173678
Blockdaemon,112487625808467277
Chorus One,111375348103066954
Staketab,110611089946612297
Figment,110445057806741673
n1stake,110125576728918020
BlockVision,109674726838469043
Triton One,104501839613497860
mrgn,103887287117956226
P2P.ORG,92285902714042335
Kraken,91010892324286927
Moonlet,87074182339060716
Staking Defense League,85891979688993310
Everstake,85414899833876865
KiligLab,83648093834136173
ContributionDAO,83258100973501333
Alchemy,80629787752632919
Artifact,80410622332478274
Nodeinfra,79483501044267495
Stardust Staking,79169597559348982
Kiln,78346678835465865
TPT,78144295364998384
P-OPS Team,76661331257852355
TrustedPoint,76114321304263117
LumiWave,74342994048954585
Coinage x DAIC,73647797416793938
ChainIDE,72777841597480489
Cosmostation,70165137693112239
OKXEarn,68733972984280037
HEEBOO,66715450198791273
01node,65750602362062164
Swyke,65573633980354057
StakingCabin,65395033147659930
Chainflow,64423261046068152
Laine,63892217679256535
Ankr,63775424356531779
Staking Facilities,62440791280313447
Stakin,62012766732566224
Haedal Protocol,60138437877054095
Citadel.one,57230410407500964
ORBR,56021889810198208
HashedPotatoes,55931714788513089
Ahoy Validator,55479741125420482
Anchorage Digital-2,53399617170926497
Studio Mirai,51440352652699437
NAVI Protocol,45112466112713487
Shinlabs,44724606221435749
Allnodes,44394840137618145
Cetus,44268809056045399
Nelrann,40941331206911690
Nansen | Stake to Stack Points,39627705843705085
H2O Nodes,38647928918927657
Nodes.Guru,38285985940551581
Astro-Stakers,38030310416740119
proofgroup,37895628685686086
Imperator.co,37844373052095184
B-Harvest,37695645819136100
SynergyNodes,37670694184726230
Anchorage Digital-1,35987213635220685
AlphaFi,35677798883442034
SyncNode,35563633396621764
Obelisk,35364213613709653
Interest Labs,35342301319014581
Suiet,35257257602065042
Chainbase Staking,33799713427525176
Ika,33392144050502857
Ledger by P2P.ORG,33237913061498960
Sentio,32547813921107471
Karrier One,32292162690962049
Stakely,31183839632354616
Surf,30959848469284962
Bluefin,30841477739437754
Bucket Protocol,30476748095302801
Asymmetric Research,30097112119672697
Encapsulate,29830599224426367
Hinode Technologies,29797310531509656
Brightlystake,29517146066380993
HashKey Cloud,29194438335541111
ProStaking,29101421934764966
BLRD,29062078436762336
QuantNode,29051140590710636
A41,29046769937553177
TDMTech,28858361110404267
iBriz.ai,28846548656643409
XPRV,28295616015628299
Latitude.sh,27956242117954547
Forbole,27582596319992248
GiveRep,27187887141186360
Omnistake,26682133539735450
Cypher Capital,26634397657289779
[NODERS] x Talentum,26064726754868180
Swiss Staking,25827628855035958
hoh.zone,25627127902996113
stakefish,24831546131210038
MIDL.dev,24578880108287891
Peeranha,23743917373660096
Neuler,23590060391481462
ZKV,22635135064661191
SenseiNode,21734933003849615
Cogent Crypto,20062628948131754
Scale3Labs,18885597962477101
BiXinKelePool,16850709610714035
DoubleUp,16454845234275559
Node Guardians,16060944033716142
FP Validated,15489755603009150
Scallop,15392296990467801
InfStones,13724327630047681
Lofi The Yeti,10445162507560756
Aphelion,5685071404908652
Kriya Validator,3252158554470158
TenX Protocols,3081535465067994
YOLOTRUMP,2519547241715789
