address,tokens
Mysten-1,208584319805108340
Mysten-2,201014343803154620
Galaxy Digital,165875243291321345
Aftermath,151409289850477162
Luganodes,148779319562850444
Suilend,141233695660472318
Coinbase,137472671176242646
DSRV,134777791166739350
Overclock,130638930828555451
Blockscope.net,125824624253718021
Figment,122524901555411270
BartestneT,122420100680363563
Chainode Tech,119293559939474429
Chorus One,118458601506502257
RepublicCrypto,116853227458314246
Durian,115548066409592974
Persimmon,115546670852998426
n1stake,112601195061003877
Staketab,110219948851493656
BlockVision,108861391384702939
Triton One,104567846403019711
mrgn,103749394424291696
Everstake,96062350689309403
Blockdaemon,95728744718796226
P2P.ORG,90566922371096718
Moonlet,86723349317174646
Ahoy Validator,86000035440535618
Cosmostation,85679114087642750
Staking Defense League,85560958856313833
KiligLab,83327003160354933
ContributionDAO,82935942260657808
Alchemy,80327511241128855
Coinage x DAIC,80141143239267071
Artifact,80091340608790141
OKXEarn,79446316517569239
Nodeinfra,79157531913181854
Stardust Staking,78855579211733505
TPT,77842612476461383
P-OPS Team,76363768387250880
Kraken,76169629331953797
TrustedPoint,75799229271284063
ChainIDE,75321771234199985
LumiWave,74061982852670726
Kiln,72778910611103439
HEEBOO,66478562441977327
01node,65435549213059146
Swyke,65347395210423495
Ankr,65254822086061175
StakingCabin,65199900873753358
Chainflow,64168295338930618
Laine,63640307241799788
Staking Facilities,62902748968322315
Stakin,61866020832105331
Citadel.one,57573134306806703
HashedPotatoes,57461814573534800
ORBR,56866200455245826
Anchorage Digital-2,54251528355556618
Haedal Protocol,53447983172554709
Studio Mirai,51315557976376388
AlphaFi,46657030269035916
Scale3Labs,45868317827017557
Shinlabs,45353667539011181
Allnodes,44340178412413814
Cetus,44097161591355131
NAVI Protocol,41515908017546085
Nelrann,40832398882581074
Nansen | Stake to Stack Points,39714676325251029
H2O Nodes,38505626661299987
Nodes.Guru,38151483565149368
Astro-Stakers,38079088393564480
proofgroup,37743589381554015
Imperator.co,37702824525173743
B-Harvest,37550062209257143
SynergyNodes,37532668400944267
SyncNode,35432939322475590
Obelisk,35222539699094632
Interest Labs,35213291143852192
Suiet,34488834545155942
Kriya Validator,33901141201366711
Chainbase Staking,33726621065074834
Ika,33262641174825243
Anchorage Digital-1,32675864939569387
Brightlystake,32499534746264712
Sentio,32417279766535794
Karrier One,32180136901982037
Cogent Crypto,31862666071343483
Stakely,31068087923057220
Surf,30850989164447047
Bucket Protocol,30391545135831916
Asymmetric Research,30172971742017956
Ledger by P2P.ORG,30060960404336406
Hinode Technologies,29924567714149445
Omnistake,29825257717351435
BLRD,29140903890530150
HashKey Cloud,29084968754288569
ProStaking,29021324172579003
QuantNode,28969003779460516
A41,28939255195265752
TDMTech,28750980442969172
iBriz.ai,28730970138032095
XPRV,28297093636120729
Latitude.sh,27852245948670955
Cypher Capital,27502677532751134
Forbole,27488591371326174
GiveRep,27087280132442157
[NODERS] x Talentum,25969474980383235
Swiss Staking,25748157883347071
hoh.zone,25536214513320118
stakefish,24836076661905840
MIDL.dev,24549181389556277
Peeranha,23632576484497057
Neuler,23502837813778203
ZKV,22545220543536080
SenseiNode,21656089580963005
Encapsulate,20049777715681146
BiXinKelePool,17188723588405705
Node Guardians,16004614377347709
DoubleUp,15986527777733491
FP Validated,15051683887879048
Scallop,14977751007760981
InfStones,13670263911989595
TenX Protocols,3131716003550756
