address,tokens
bitcoinsuisse.com,26727412426156
Finoa Consensus Services,24544930620753
P-OPS Team,24059231605373
BinanceNode,19550842047458
P2P.org 💙,17928540294129
Chorus One,17424799194217
Qubelabs,16159753894676
Figment,13814518786285
Cosmostation,10109219718602
Keplr,9123806646126
Anchorage Digital,8018193927569
Staking Facilities,7244684520078
Hex Trust,7042448099664
Binary Builders,7039991880005
Upnode,7012614381233
CUCK.,6604885548448
Everstake,6386445173514
IYKYK,6159593164498
DSRV,6047820278238
T DATA,6025689618967
01node,5979937289030
Coinbase,5830409873294
ContributionDAO,5816048439165
Cumulo,5755377197681
Tane,5500387990515
TTT VN,5500377423804
KYVE Public Good Funding,5500173176751
node101,5500120840521
Nansen | Stake to Stack Points,5483447857662
GalaxyDigital,5142255255181
senggigi,5122918542873
Goose,5000420451970
Nocturnal Labs,4956120394403
Kraken,4864855008254
Kiln,4300701909719
XPRV,4200153688569
NodeStake,3942502207526
Informal Systems,3884435540472
Validatus,3808074668010
Stakely.io,3777935281988
Stakecito,3721692753754
Stakin,3610136427286
Easy 2 Stake,3557524195696
Nodes.Guru,3431467944323
Enigma,3400988229126
B-Harvest,3396648047792
 kjnodes.com 🦄,3354903442794
Alchemy,3328488438524
ZKV,3187923643018
wavefive,3130960932786
Stake🦑Squid,3121945362335
Smart Stake 📈📊,3052653868362
itrocket,3041101375229
STAKEME,3036669560572
CroutonDigital,3033717200471
alphab.ai,3032886823532
StakeTown,3012970305100
Kairos Research X Firstset,3012061908002
LuckyResearch Labs,3010243345264
deNodes,3004204402710
F5 Nodes,3000981199339
CosmoWiz,3000854986056
mammoth.guru,3000481852740
Cosmic Validator,3000427806632
CHAIN DIGITAL,3000220695917
bitszn,3000204987746
ECAD Infra,3000116091818
21state,3000113211100
StakeUs,3000110846915
Neoprom,3000059084290
quantumcore,3000055810000
Endorphine Stake,3000003020000
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
POSTHUMAN 🧬 StakeDrop,2512485050217
VALIDEXIS,2500148703447
Imperator.co,2361435302396
AI,2320481190434
Swiss Staking,2214955803332
Blockdaemon,2088598694502
Go,1905807784821
Colossus,1801726356536
polkachu.com,1633418441235
Allnodes,1389636192132
PRYZM | StakeDrop,1354290106101
LatamNodes,1287008767307
BlackBlocks,1281437840039
ValiDAO,1214785912879
Larry Engineer,1176370280865
strangelove,1133497829202
w3.labs,1100270177497
NakoTurk,1011843882483
project blanc,1000193997434
ttechvalidator,1000193412784
iqlusion,950930099437
 Lavender.Five Nodes 🐝,759454801750
Twinstake,683886803843
StakeLab.zone,448824761587
FreshSTAKING,404572064484
Node Guardians,358582060968
✅ CryptoCrew Validators,336661859818
StakingCabin,305187286805
"Frens (🤝,🤝)",146038871728
Brightlystake,123355055732
Staker Space,100972570829
Lemniscap,61211910552
Astria,60978909089
<decommissioned>,43113145413
Bodhi Ventures,43001000000
Please Redelegate to The New node101 Validator,42013191708
"[Sunsetting, please redelegate] | Forbole",38737153141
PLEASE REDELEGATE TO THE NEW DTEAM VALIDATOR,36555336094
PLEASE REDELEGATE - CLOSING | ChainodeTech,22396118210
MZONDER,20186500823
Meria,17227685924
<decommissioned>,11981786244
Conqueror,11250405248
Staking4All,10407758116
Gunter,10073643482
kooltek68,9634307849
[NODERS],9445040250
W3.Hitchhiker,8824546652
Moonlet,8556258865
BitNordic,8104628976
PartnerStaking | Timeworx.io Airdrop,7337107295
0xFury,6941841293
Anonymous,5872430138
spidey,5751314838
counterpoint,5733382714
Encapsulate (fka KingSuper),5642721072
KEK,5167663317
Please Redelegate,5128652810
Active Nodes,3730861811
 Blockscope.net,3163801604
Validatrium. Inactive - redelegate please,2653198095
<Dora Factory decommissioned>,2346740769
UNBONDING - PLEASE REDELEGATE,2311444315
Maple Nodes,2127973704
<decommissioned>,1853838108
MH Ventures,1852009631
MyStake,1704355601
Neuler,1373669504
TrustedPoint,1368229525
Witval,1246071325
Crosnest,1225598954
<decommissioned>,1195881165
Suntzu,1185291046
Decentrio,1059842217
KalpaTech,1053118771
Notional,515956867
Neoprom,433885010
BlackNodes,392950331
SG-1,371864130
LowFeeValidation,347783458
AM Solutions 🪐,306399314
 AutoStake 🛡️ Slash Protected,297595332
quantumcore,269326015
Please redelegate,228722339
nysa.network,218541289
Inactive,211902551
<decommissioned>,193332509
Earthbender,183441795
HFA X Defi Dojo Validation,78764720
<decommissioned>,73239667
openbitlab,55913986
 Silk Nodes,55000000
[Please redelegate],50349881
vortexray,50010812
INACTIVE,48545934
Stakeflow,27882373
Anonstake,22368374
ECO Stake 🌱,16038689
GPvalidator,15264838
Kraymerica,15000000
Cosmos Spaces,14610886
0base.vc,11662808
Tessellated,11631813
StakePool,11010922
StakeCapital,10043124
BlockHunters 🎯,10040450
Celestine Sloth Society,10000000
Bro_n_Bro,9045640
Architect Nodes,9028757
AiNodes,8000000
Inactive,7000000
AndromedaPool,6624079
please Redelegate,6336540
Huginn,6310594
OmniFlix Network,6043704
Ubik Capital,6011130
NacionCrypto - Parceros,5782894
openstake.net,5032923
Deleted,4259562
  Oni ⛩️,3041706
Kleomedes,3025752
Quadro_Network,2870531
Inter Blockchain Services,2582591
,2312083
BloClick,2210619
