address,tokens
Mysten-1,207324967050319690
Mysten-2,200389247307227150
Galaxy Digital,165266439294218937
Aftermath,151432027800191058
Luganodes,148796547197528462
Suilend,142781285353702380
Coinbase,140124831468402951
DSRV,134793372187700940
Overclock,130654046905275820
Blockscope.net,125839240394619743
Figment,122631057714596666
BartestneT,122434283780629067
Chainode Tech,119307131063880053
Chorus One,118430909624965562
RepublicCrypto,116866765213957001
Durian,115561466497127954
Persimmon,115560070940533406
n1stake,112609570011105122
Staketab,110226518492712810
BlockVision,108873907172172423
Triton One,104579168576782254
mrgn,103760996597941160
Everstake,96072423546654902
Blockdaemon,95739880257235923
P2P.ORG,90561782208367574
Moonlet,86733390836956526
Ahoy Validator,86009537856883051
Cosmostation,85684775038166117
Staking Defense League,85570878406549057
KiligLab,83336658351116907
ContributionDAO,82945592320807434
Alchemy,80336334106012078
Coinage x DAIC,80152232175813675
Artifact,80100419497087553
Nodeinfra,79166691884425234
Stardust Staking,78864714618586032
OKXEarn,78251116159385310
TPT,77851661892371668
Kraken,76821752976295927
P-OPS Team,76372643776296177
TrustedPoint,75801966547507974
ChainIDE,75330558497948754
LumiWave,74070597201418542
Kiln,72783663990624385
HEEBOO,66485377972530514
01node,65443119400617034
Swyke,65354744271071410
StakingCabin,65206628083967818
Ankr,65092338691426635
Chainflow,64175777466709848
Laine,63647592948382147
Staking Facilities,62910050079082180
Stakin,61863738216034801
Citadel.one,57579513123230322
ORBR,56872815991070784
HashedPotatoes,55808635232478731
Anchorage Digital-2,54257880355059592
Haedal Protocol,53566111045773804
Studio Mirai,51320452635893472
AlphaFi,46738700688205646
Scale3Labs,45872712345538593
Shinlabs,45358881353107217
Allnodes,44334884149571080
Cetus,44102196792799494
NAVI Protocol,41495817513088196
Nelrann,40837097626866664
Nansen | Stake to Stack Points,39806122983781618
H2O Nodes,38508723093475398
Nodes.Guru,38154783846963986
Astro-Stakers,38083300328489343
proofgroup,37747734069182006
Imperator.co,37700583487921465
B-Harvest,37554325886380263
SynergyNodes,37536591201636852
SyncNode,35435678669527758
Obelisk,35226541291937230
Interest Labs,35215673578482822
Suiet,34498398942911863
Kriya Validator,33904754884579708
Chainbase Staking,33730039063079627
Ika,33265173302086643
Anchorage Digital-1,32679606536097544
Brightlystake,32503276342792869
Sentio,32421021363063951
Karrier One,32183438926859239
Cogent Crypto,31866312138011343
Stakely,31071427183892735
Surf,30853371323744099
Bucket Protocol,30395025692062591
Asymmetric Research,30176452298248631
Ledger by P2P.ORG,30076422265297428
Hinode Technologies,29941499901465978
Omnistake,29828576633243693
HashKey Cloud,29088070862795204
BLRD,29045925818438945
ProStaking,29024366344825762
QuantNode,28972310308826204
A41,28942438330193945
TDMTech,28754286972334860
iBriz.ai,28734276667397783
XPRV,28300312028946306
Latitude.sh,27855378451171654
Cypher Capital,27505486645592822
Forbole,27491716862640554
GiveRep,27089437640555294
[NODERS] x Talentum,25972433456018947
Swiss Staking,25751025505642120
hoh.zone,25538799010425978
stakefish,24838022311910207
MIDL.dev,24546788443171536
Peeranha,23635068602359931
Neuler,23505319580416144
ZKV,22547733494975662
SenseiNode,21658525976003753
Encapsulate,20052040083856907
BiXinKelePool,17190637902851489
Node Guardians,16006377999673714
DoubleUp,15988355078746782
FP Validated,15053337162027351
Scallop,14979402779772393
InfStones,13671802611626700
TenX Protocols,3132064076211651
