address,tokens
Mysten-1,212256420894920130
Mysten-2,200097452353849354
Galaxy Digital,164865475056167148
Aftermath,151375025003255436
Luganodes,148876839392794257
Suilend,142946951320524082
Coinbase,141948945794677203
DSRV,134823023884026637
Overclock,130689386057503762
Blockscope.net,125868599454697162
BartestneT,122462482041800587
Figment,120648452797247856
Chainode Tech,119334752346963029
Chorus One,118458837441151798
RepublicCrypto,116893876509771458
Durian,115588230212650463
Persimmon,115586834656055915
n1stake,112632913524461653
Staketab,110262567153038757
BlockVision,108789045614635631
Triton One,104603276234549985
mrgn,103785635916329620
Everstake,96088714050568893
Blockdaemon,95812320843575235
P2P.ORG,90576606835460699
Moonlet,86753498446926591
Ahoy Validator,86028418557240360
Cosmostation,85682863043497158
Staking Defense League,85587881597550546
KiligLab,83352320699398921
ContributionDAO,82975136909747119
Alchemy,80344058438897704
Coinage x DAIC,80168721906608270
Artifact,80119015075749305
Nodeinfra,79184993505420823
Stardust Staking,78882961479768518
Kraken,78292220513102492
OKXEarn,78143716635541313
TPT,77869725929584048
P-OPS Team,76390317805576317
TrustedPoint,75818447729460873
ChainIDE,75348107138783625
LumiWave,74081279150872451
Kiln,72788765960687086
HEEBOO,66498988870123859
01node,65458149400005884
Swyke,65369541268032450
Ankr,65355655505599238
StakingCabin,65224255470660113
Chainflow,64191412221675094
Laine,63661987179423727
Staking Facilities,62924648484386541
Stakin,61886408793188347
Citadel.one,57596115896308771
ORBR,56884464047172256
HashedPotatoes,55821147981296713
Anchorage Digital-2,54270480186390102
Haedal Protocol,51843338749885960
Studio Mirai,51331492902002365
Scale3Labs,45883183322748470
AlphaFi,45378529148294919
Shinlabs,45369279803456195
Allnodes,44326948051340443
Cetus,44111930053273891
NAVI Protocol,41536879268829823
Nelrann,40846471823731386
Nansen | Stake to Stack Points,39721721407985055
H2O Nodes,38517794391371038
Nodes.Guru,38163099163705467
Astro-Stakers,38089896689548847
proofgroup,37756423609523266
Imperator.co,37714088436916323
B-Harvest,37562789562962578
SynergyNodes,37544424512665844
SyncNode,35443846839431096
Obelisk,35234536830747582
Interest Labs,35223667958240187
Suiet,34508712977790439
Kriya Validator,33911182461742668
Chainbase Staking,33734337275095473
Ika,33265356597023300
Anchorage Digital-1,32687079545416988
Brightlystake,32510624085699076
Sentio,32428441311912036
Karrier One,32190703828593716
Cogent Crypto,31894914827184815
Stakely,31078530740808938
Surf,30860746130531909
Bucket Protocol,30401977330944114
Ledger by P2P.ORG,30268915459228997
Asymmetric Research,30183403937130154
Hinode Technologies,29914360975998410
Omnistake,29835349266176495
HashKey Cloud,29094655653494493
ProStaking,29029819875383954
BLRD,28984569698394027
QuantNode,28978913348353524
A41,28949039836998089
TDMTech,28760891030924437
iBriz.ai,28740880725987360
XPRV,28306740238739246
Latitude.sh,27861634929469284
Cypher Capital,27511305057391277
Forbole,27497870170066531
GiveRep,27095590158806949
[NODERS] x Talentum,25978342354024629
Swiss Staking,25756824256049302
hoh.zone,25543960470203848
stakefish,24841194846200671
MIDL.dev,24552348740380278
Peeranha,23640456129927692
Neuler,23510686354868080
ZKV,22552773442251476
SenseiNode,21663391014695020
Encapsulate,20056558660694801
BiXinKelePool,17194461319105488
Node Guardians,16010012962552177
DoubleUp,15991984655783953
FP Validated,15056689207843530
Scallop,14982744825588472
InfStones,13669153043536398
TenX Protocols,3131758889336721
