address,tokens
Mysten-1,212553860376617887
Mysten-2,200075484263768104
Galaxy Digital,164866569995634912
Aftermath,151376904293532638
Luganodes,148886530006398242
Suilend,143165645354060181
Coinbase,141960278172355791
DSRV,134830778922631484
Overclock,130696903437843834
Blockscope.net,125875871968514161
BartestneT,122469511754238287
Figment,120654481580319758
Chainode Tech,119341691324704741
Chorus One,118465682259914592
RepublicCrypto,116879666968642466
Durian,115594901745006203
Persimmon,115593506188411655
n1stake,112639270168193775
Staketab,110268929276832047
BlockVision,108795327252575499
Triton One,104602098902458467
mrgn,103790555024753203
Everstake,96098038938144504
Blockdaemon,95817866014285122
P2P.ORG,90594444628095643
Moonlet,86758525858415316
Ahoy Validator,86033151223422745
Cosmostation,85692071807103722
Staking Defense League,85592820265835744
KiligLab,83357129402878828
ContributionDAO,82979196176153703
Alchemy,80348460013515232
Coinage x DAIC,80173038461458965
Artifact,80118452928146559
Nodeinfra,79189584489553916
Stardust Staking,78887510253637844
Kraken,78282558663683590
OKXEarn,78184275628079948
TPT,77874231381851610
P-OPS Team,76394736614640352
TrustedPoint,75822808213623396
ChainIDE,75352482626245896
LumiWave,74085567995131195
Kiln,72791224819802139
HEEBOO,66502342822249607
01node,65461919158423646
Ankr,65376187678499633
Swyke,65373179854899979
StakingCabin,65227928709283309
Chainflow,64195123820140844
Laine,63665669521257781
Staking Facilities,62928287504618832
Stakin,61889976696680581
Citadel.one,57599558969113071
ORBR,56887757494590438
HashedPotatoes,55824397107113132
Anchorage Digital-2,54273642669002994
Haedal Protocol,51881745613582148
Studio Mirai,51334390441678032
Scale3Labs,45885782624538435
Shinlabs,45371849469132678
AlphaFi,44867704136126926
Allnodes,44327353684444271
Cetus,44114381534873346
NAVI Protocol,41779006873228053
Nelrann,40848811195910770
Nansen | Stake to Stack Points,39721187091143734
H2O Nodes,38520003798745131
Nodes.Guru,38165209517645664
Astro-Stakers,38092010047698838
proofgroup,37758589695295596
Imperator.co,37716576661284039
B-Harvest,37564912327133144
SynergyNodes,37546377301054813
SyncNode,35445882960398135
Obelisk,35236529630112857
Interest Labs,35225660757605462
Suiet,34496127074306257
Kriya Validator,33913069712100590
Chainbase Staking,33736257395437799
Ika,33262321759712844
Anchorage Digital-1,32688942379976973
Brightlystake,32512486920259061
Sentio,32430283970333084
Karrier One,32192522335648510
Cogent Crypto,31896734340143036
Stakely,31077615926918800
Surf,30862477998250911
Bucket Protocol,30403710200698808
Ledger by P2P.ORG,30281486143885233
Asymmetric Research,30185136806884848
Hinode Technologies,29925250732304194
Omnistake,29837037695816315
HashKey Cloud,29096301880045660
ProStaking,29031334282531787
BLRD,28986215924945194
QuantNode,28980559574904691
A41,28950686063549256
TDMTech,28762537257475604
iBriz.ai,28742526952538527
XPRV,28308343143688649
Latitude.sh,27863194512816924
Cypher Capital,27512755368286375
Forbole,27499327774780772
GiveRep,27097259419006905
[NODERS] x Talentum,25979815294168742
Swiss Staking,25758292491468526
hoh.zone,25545246995867467
stakefish,24862505677245843
MIDL.dev,24553735037320863
Peeranha,23641799105266514
Neuler,23512029330206902
ZKV,22554029774386771
SenseiNode,21664604025228551
Encapsulate,20057685028024805
BiXinKelePool,17195414400028438
Node Guardians,16010922721873363
DoubleUp,15992894415105139
FP Validated,15057512323961189
Scallop,14983575941706131
InfStones,13669932838052294
TenX Protocols,3131932181427927
