address,tokens
bitcoinsuisse.com,26635368065987
P-OPS Team,24079007776211
BinanceNode,19549540176213
P2P.org 💙,17914703038380
Chorus One,16787022702394
Qubelabs,16138753035731
Finoa Consensus Services,13521476929354
Figment,12496833243769
Keplr,10192793908358
Cosmostation,10009349823093
Anchorage Digital,8018200907569
Staking Facilities,7323957349036
Binary Builders,7035859158034
Hex Trust,7022258499888
Upnode,7003042060762
CUCK.,6504025231192
Everstake,6339584397204
IYKYK,6166954197567
DSRV,6046218542025
T DATA,6024261149950
01node,5970010726179
Kraken,5859205234795
Coinbase,5815922170727
ContributionDAO,5815707365386
Cumulo,5754707809724
TTT VN,5500377423804
node101,5500280840521
KYVE Public Good Funding,5500173176751
Tané,5500012154158
Nansen | Stake to Stack Points,5405847167813
GalaxyDigital,5137776314449
senggigi,5122903542873
Goose,5000593051970
Nocturnal Labs,4924712556987
Kiln,4832219414090
XPRV,4197282335392
NodeStake,3954188409870
Informal Systems,3872424084356
Validatus,3800594825926
Stakely.io,3775659499864
Stakecito,3697198407895
Stakin,3604200908041
Easy 2 Stake,3556919591955
Nodes.Guru,3427651626877
B-Harvest,3395805048057
Enigma,3363433239281
 kjnodes.com 🦄,3353456997551
Alchemy,3327724045716
ZKV,3185423739062
wavefive,3130725531447
Stake🦑Squid,3121711023795
Smart Stake 📈📊,3053030157619
itrocket,3041101375229
STAKEME,3036669560572
alphab.ai,3031799197374
StakeTown,3012854114069
CroutonDigital,3012780200471
Kairos Research X Firstset,3012061908002
LuckyResearch Labs,3009558345264
deNodes,3004239402710
F5 Nodes,3000980340981
CosmoWiz,3000854986056
Cosmic Validator,3000427806632
mammoth.guru,3000417632409
ECAD Infra,3000256091818
CHAIN DIGITAL,3000217695917
bitszn,3000200987746
21state,3000111856915
StakeUs,3000110846915
Neoprom,3000059084290
quantumcore,3000055810000
Endorphine Stake,3000003020000
ChainTrails Team | 🛠️,3000001020000
DTEAM,3000001000000
POSTHUMAN 🧬 StakeDrop,2513695612148
VALIDEXIS,2500148703447
AI,2316552679807
Imperator.co,2313618880378
Swiss Staking,2208261639770
Blockdaemon,2098555620724
Go,1890661523633
Colossus,1801726617477
polkachu.com,1609895548607
Allnodes,1396501383319
PRYZM | StakeDrop,1336321488947
LatamNodes,1286249037584
BlackBlocks,1279695495108
ValiDAO,1214729679574
Larry Engineer,1173646079608
strangelove,1127863807553
w3.labs,1100130871204
NakoTurk,1011425478070
ttechvalidator,1000218412784
project blanc,999776805275
iqlusion,955971817693
 Lavender.Five Nodes 🐝,752080278213
StakeLab.zone,448330035482
FreshSTAKING,404244875093
Node Guardians,356492892433
Kiln,350047682209
✅ CryptoCrew Validators,335220025034
StakingCabin,304802847107
"Frens (🤝,🤝)",142891135469
Brightlystake,122738893865
Staker Space,120443126688
Twinstake,71180791870
Lemniscap,60824609622
Astria,58438485816
Bodhi Ventures,43001000000
<decommissioned>,42686429811
Please Redelegate to The New node101 Validator,41924884605
"[Sunsetting, please redelegate] | Forbole",37915391650
PLEASE REDELEGATE TO THE NEW DTEAM VALIDATOR,36555336094
PLEASE REDELEGATE - CLOSING | ChainodeTech,21696195920
MZONDER,18714118601
Meria,16243039106
<decommissioned>,11897422296
Conqueror,10857641145
Staking4All,10096975645
Gunter,9754368541
kooltek68,9396477085
[NODERS],9217679247
Moonlet,8148861654
W3.Hitchhiker,8057477461
BitNordic,7511123839
PartnerStaking | Timeworx.io Airdrop,7103458492
0xFury,6939791293
Anonymous,5872430138
spidey,5459637412
counterpoint,5378611895
Encapsulate (fka KingSuper),5362478068
Please Redelegate,4923540500
KEK,4839554615
Active Nodes,3555533008
 Blockscope.net,2973862068
Validatrium. Inactive - redelegate please,2419426358
<Dora Factory decommissioned>,2346740769
Maple Nodes,2110063704
UNBONDING - PLEASE REDELEGATE,2073612578
<decommissioned>,1831537477
MH Ventures,1705902295
MyStake,1565455601
Neuler,1373669504
TrustedPoint,1368229525
Witval,1246071325
Crosnest,1225598954
<decommissioned>,1195881165
Suntzu,1172905757
Decentrio,1059842217
KalpaTech,1042108771
Notional,515956867
Neoprom,433885010
BlackNodes,392950331
SG-1,371864130
AM Solutions 🪐,306399314
 AutoStake 🛡️ Slash Protected,297595332
Tane,287990515
quantumcore,269326015
Please redelegate,228722339
nysa.network,218541289
Inactive,211902551
<decommissioned>,193332509
Earthbender,183441795
LowFeeValidation,181683458
HFA X Defi Dojo Validation,78764720
<decommissioned>,73239667
 Silk Nodes,55000000
openbitlab,54213986
[Please redelegate],50349881
vortexray,50010812
INACTIVE,48545934
Stakeflow,27882373
Anonstake,22368374
ECO Stake 🌱,16038689
GPvalidator,15264838
Kraymerica,15000000
Cosmos Spaces,14610886
0base.vc,11662808
Tessellated,11631813
StakePool,11010922
StakeCapital,10043124
BlockHunters 🎯,10040450
Celestine Sloth Society,10000000
Bro_n_Bro,9045640
Architect Nodes,9028757
AiNodes,8000000
Inactive,7000000
AndromedaPool,6624079
please Redelegate,6336540
Huginn,6310594
OmniFlix Network,6043704
Ubik Capital,6011130
NacionCrypto - Parceros,5782894
openstake.net,5032923
Deleted,4259562
  Oni ⛩️,3041706
Kleomedes,3025752
Quadro_Network,2870531
Inter Blockchain Services,2582591
,2312083
BloClick,2210619
NodeX Emperor ⚡ Celestia,2129503
𝐥𝐞𝐬𝐧𝐢𝐤 | 𝐔𝐓𝐒𝐀,2058770
EU,2009567
Inno Swap - DELEGATE FOR AIRDROP,1831392
Clorophilla,1701100
KubikStaking,1643402
0% EU Fast Validator,1547079
cryptech,1305294
Luganodes,1275545
Sr20de,1110957
NachoNode,1073568
WexclaW,1066576
Avril14th,1059598
Chocodiva,1059385
Stake&Relax 🦥,1057047
AviaStake,1056591
na,1047471
Booga Beras,1045641
Equinox,1045133
OKX Earn,1043800
GPvalidator,1041951
silent,1041413
Pro-Nodes75,1028202
Please Redelegate,1027828
Kaizoku Labs,1027744
Brick,1027488
DXN,1027480
cosmosrescue,1026034
IcyCRO 🧊,1024282
Nodiums,1024081
Madrona,1020307
Chainflow,1019837
RockX,1011547
ValidatorVN,1011141
MAHOF,1010757
Synergy Nodes,1010720
PathrockNetwork,1010624
PowerStaking,1000586
Wave,1000529
owlstake,1000000
bitwise,1000000
🔥STAVR🔥,1000000
test,1000000
LiveRaveN,1000000
Inotel,1000000
YOUR_MONIKER_NAME,1000000
Node39.TOP,1000000
Calypso,1000000
YOUR_MONIKER_NAME,1000000
interchain.FM🥩,1000000
MegaNode,1000000
Nodes Hub 🛡️ 100% Slash Protected 🛡️,1000000
BonyNode💚,1000000
Artifact,647029
jabbey,616094
vega17,508069
iCosmosDAO,240178
InfStones,229427
Multiplex,142828
AVIAONE 🟢,136223
securesecrets,69199
ian-test,40213
CC,29328
Deactivated,26168
cryptonodes,24151
this_is_moniker,21675
QuantumQuasar,0
MrCoco,0
TiaRocketKC,0
themanuello_moniker,0
BitGo,0
Stake.Works | Celestia,0
AiC DAO,0
SquallNetwork,0
danku_zone w/ DAIC,0
