address,tokens
P-OPS Team,23798565395598
BinanceNode,19035871526438
P2P.org 💙,18336648065129
Qubelabs,16052762239443
bitcoinsuisse.com,14705944248713
Figment,11211516998792
Finoa Consensus Services,10325232673072
bitwise,10000070057416
Kraken,9185703881790
Cosmostation,9035773078161
Anchorage Digital,8024887547388
Keplr,7584010509799
Staking Facilities,7321585404204
Binary Builders,6995871308621
Hex Trust,6699912284593
Coinbase,6688098611706
CUCK.,6262778515926
IYKYK,6184799761848
DSRV,6040120747603
T DATA,6030814185024
ContributionDAO,5815438726688
Kiln,5812113251764
Cumulo,5749096219293
Everstake,5600313400000
TTT VN,5500369723016
node101,5500280840521
KYVE Public Good Funding,5500173176751
Tané,5500002000000
Nansen | Stake to Stack Points,5453858677652
senggigi,5122903542873
Upnode,5019834401069
Goose,5000481751970
01node,4133813304307
NodeStake,4000721353380
Informal Systems,3991295958588
Stakecito,3859429471138
Validatus,3791656965763
Stakely.io,3777384992701
Stakin,3574877615165
Easy 2 Stake,3555662882714
Nodes.Guru,3423969426529
Enigma,3422313809531
B-Harvest,3391691645810
 kjnodes.com 🦄,3357051022848
Chorus One,3352745514439
Alchemy,3334241552752
ZKV,3163801832804
wavefive,3130367224804
Stake🦑Squid,3055787225629
itrocket,3046643367715
CroutonDigital,3045425957389
Smart Stake 📈📊,3038305874718
STAKEME,3036664060572
alphab.ai,3029582469585
Kairos Research X Firstset,3014584537260
ECAD Infra,3010478418342
deNodes,3004239402710
CosmoWiz,3000934498482
F5 Nodes,3000893724405
StakeTown,3000476530490
LuckyResearch Labs,3000451518374
Cosmic Validator,3000427806632
mammoth.guru,3000418632409
CHAIN DIGITAL,3000217695917
bitszn,3000174923155
21state,3000111856915
StakeUs,3000110846915
Neoprom,3000065884290
quantumcore,3000056810000
ChainTrails Team | 🛠️,3000022020000
Endorphine Stake,3000003020000
DTEAM,3000001000000
XPRV,2801741693966
POSTHUMAN 🧬 StakeDrop,2510959036128
VALIDEXIS,2500148703447
Imperator.co,2258276158842
Swiss Staking,2160408496617
Blockdaemon,2081312223499
Go,1857452449270
Colossus,1814079304962
polkachu.com,1512758590115
Allnodes,1397254180560
LatamNodes,1285175331154
BlackBlocks,1276212296149
ValiDAO,1220270669303
PRYZM | StakeDrop,1141737928192
strangelove,1112341407013
w3.labs,1100135871204
iqlusion,970862523202
NakoTurk,966781000314
project blanc,802595072888
 Lavender.Five Nodes 🐝,737277540341
Larry Engineer,571919735665
