address,tokens
Twinstake,312485388
Upbit Staking,295933454
Coinbase,260879687
Luganodes,247034086
Binance Node,227496754
Matic Power,207785635
Figment,172772108
Anonymous 93,167055313
Web3Nodes Validator 🌎 0% fee,166526411
Anonymous 94,133289372
Kiln x Ownest 🔸 Pro Staking 🔸,122361869
Kraken,114545906
Everstake 0% fee,113840914
Anonymous 91,99790755
P2P.org 0% Fee,96103464
Girnaar Nodes,86622373
Stakin,79905564
Vault Staking,76714085
Allnodes ⚡️ 0% fee,61905515
Staking4all - 0% fee,43391263
StakePool,42341683
Blockdaemon,38184776
Anonymous 92,31171049
Matrix Stake,23761622
TruFin,18114291
Abyss Finance 🔥 0% fee,15028150
SelfLiquidity,9719807
LinkPool,8772437
The Abyss (0% commission),8232601
🐠 stake.fish,7968172
Supermoon,7856436
Blue Ocean,7294535
Meria,6435705
HashKey Cloud,6228892
Nobi,5986048
Prometheus Pool,5336889
CheckBit 0% fee,5057681
Valis Labs,4853599
Making.cash,4510151
Fahrenheit ❄️ 0%,4434321
stakeFi Network,4072098
algo | stake,3974110
Smart Stake 📈📊,3603651
Blocks United,2797636
Infosys,2784093
DeFiMatic,2588574
Coinstash,2543161
Tessellated,2521849
Newroad Network,2503441
Rasputin,2488500
Vader 73,2464126
Streamr,2451996
Blocksize,2395054
Data Nexus,2320686
Stake.Works,2155717
Chorus One,2081952
VC Capital,2061480
vido.info,2010462
Vitwit,1989942
bountyblok,1988976
PolygonGo,1988966
EMC2 Node,1884471
Matic Friends,1865520
Cryptech-Hacken,1650850
NodeOps,1589048
Sakura Foundation,1576946
BCW Technologies,1557700
AnkrValidator,1468904
Diversified Validator Network,1277864
PathrockNetwork,1204051
Validatrium,1149640
Atlas Staking,1126822
Perfect Stake 🥩,1065448
Deepheat,1029320
Smartpay Validator,1014939
Gonedator,1000658
Fierydev-MCLB,882634
StakeCraft 🔥 0% Fee,824169
Pentagon Chain,748139
Shard Labs,549161
Web3Auth Validator,471159
FreshSTAKING,342623
Pentagon Games,336515
Mantra Chain,304213
Simply Staking,282641
Stake Capital,264671
RockX,257996
Wetez,255497
Cryptonomicon,237029
Blockops,222267
Orion by Atlas Staking,217022
SolidStake,207834
Mind Heart Soul,205863
Republic Crypto / Source,200816
Northstake,193329
SenseiNode,190771
kytzu,153797
DSRV,147007
Forbole,103615
Zero Hash,103578
Google Cloud,78695
Sentinel Stake,51875
Pier Two,34124
Stakeway Validator,30072
Ledger by Meria,10000
