peers,pattern,mean_time,std_time,min_time,max_time,median_time,mean_gini,std_gini,iterations
10000,uniform,0.001,0.000,0.001,0.002,0.001,0.000,0.000,50
10000,random,0.002,0.000,0.001,0.002,0.002,0.336,0.000,50
100000,uniform,0.007,0.001,0.006,0.011,0.006,0.000,0.000,50
100000,random,0.026,0.007,0.018,0.053,0.024,0.333,0.000,50
1000000,uniform,0.068,0.004,0.063,0.081,0.067,0.000,0.000,50
1000000,random,0.470,0.027,0.434,0.554,0.461,0.333,0.000,50
10000000,uniform,0.726,0.034,0.688,0.813,0.715,-0.000,0.000,50
10000000,random,5.846,0.075,5.707,6.024,5.833,0.333,0.000,50
