blockchain,total_validators,gini_coefficient,nakamoto_coefficient,hhi_coefficient,gini_srsw,nakamoto_srsw,hhi_srsw,gini_log,nakamoto_log,hhi_log,gini_desw,nakamoto_desw,hhi_desw
ethereum,777,0.9839791970979997,3,0.12812528029250267,0.8270219189768983,16,0.023032715972854865,0.2813252796525968,267,0.0015643580301776447,0.10847925047467599,380,0.001288846239475456
polygon,104,0.8130784083223663,7,0.05163565951008846,0.5920864493922409,14,0.02495931088440413,0.09030457880858689,46,0.00986138478094524,0.25296714984761237,33,0.011735918428880967
injective,50,0.4240628170140911,11,0.03648515837150922,0.21319849141132197,18,0.023320885040129267,0.03042135252739331,24,0.020057459426190097,0.24611797460885998,17,0.024562014024125535
axelar,75,0.4423358625932894,17,0.023266051169990847,0.2946534547779712,25,0.017221526589678845,0.07510739227928509,35,0.013705420766965841,0.31401468777165054,24,0.017736954624346157
celestia,267,0.795823793221008,20,0.020357464709761856,0.7007805010698354,36,0.011248542442325676,0.19676442425406204,101,0.004083245139850854,0.5383344576929195,56,0.007228068921567007
celo,85,0.4215443570309131,22,0.018812606557036683,0.2893194994334397,29,0.014841409833409798,0.030893384188627193,42,0.011796034904796884,0.31412173889605544,27,0.015376018728431936
sui,122,0.3544951872408483,32,0.011823382401643937,0.1858749791609291,45,0.009103150119581961,0.009962154622736086,61,0.008199306028405288,0.23727583678735287,41,0.009704379014597081
aptos,154,0.46470943012776356,34,0.011295287325169458,0.2777300372425673,51,0.007834533805428546,0.0514037804872749,75,0.006509665021586614,0.2924123668507077,49,0.00800530227276298
